workload,redundancy,regime,prompt_length,generation_length,cached_generation_length,prompt_fraction,generated_fraction,requested_retained_fraction,actual_retained_fraction,full_cache_metric,solvable,method,method_key,metric_mean,metric_stdev,metric_samples,metric_ci_low,metric_ci_high,scoring_advantage,advantage_ci_low,advantage_ci_high,prompt_retained,generated_retained,total_retained,generated_position_mean,kv_bytes,flags
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.9,0.8997989165509193,0.0,False,SnapKV,snapkv,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,349.5,95.0,444.5,446.0,8193024.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
needle,none,prompt_protected,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,H2O (prompt-protected),pp-h2o,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,131.0,43.666666666666664,174.66666666666666,161.39996133818806,3219456.0,
needle,none,prompt_protected,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,Prompt-protected random,random,1.0,0.0,6,1.0,1.0,,,,131.0,43.666666666666664,174.66666666666666,163.83628313170465,3219456.0,
needle,none,prompt_protected,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,H2O (prompt-protected),pp-h2o,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,389.5,46.5,436.0,434.78317553262866,8036352.0,
needle,none,prompt_protected,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,Prompt-protected random,random,1.0,0.0,6,1.0,1.0,,,,389.5,46.5,436.0,445.4040299405557,8036352.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.3,0.2989510921455583,1.0,True,H2O,h2o,0.5,0.5,6,0.16666666666666666,0.8333333333333334,,,,38.28703703703704,19.712962962962962,58.0,176.20233818132522,1069056.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.6,0.5996784893795292,1.0,True,CAKE-style,cake,1.0,0.0,6,1.0,1.0,,,,53.333333333333336,63.0,116.33333333333333,162.0,2144256.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.6,0.5996784893795292,1.0,True,H2O,h2o,1.0,0.0,6,1.0,1.0,,,,76.35416666666667,39.979166666666664,116.33333333333333,169.98024489960562,2144256.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.6,0.5996784893795292,1.0,True,OBCache 1st-order,obcache,0.3333333333333333,0.4714045207910317,6,0.0,0.6666666666666666,,,,53.333333333333336,63.0,116.33333333333333,162.0,2144256.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.6,0.5996784893795292,1.0,True,SnapKV,snapkv,1.0,0.0,6,1.0,1.0,,,,53.333333333333336,63.0,116.33333333333333,162.0,2144256.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,CAKE-style,cake,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,111.66666666666667,63.0,174.66666666666666,162.0,3219456.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,H2O,h2o,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,116.86805555555556,57.798611111111114,174.66666666666666,163.91153572283915,3219456.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,OBCache 1st-order,obcache,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,111.66666666666667,63.0,174.66666666666666,162.0,3219456.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,Prompt-protected random,random,1.0,0.0,6,1.0,1.0,,,,131.0,43.666666666666664,174.66666666666666,163.83628313170465,3219456.0,
needle,none,published,131,64,63,0.6752577319587629,0.3247422680412371,0.9,0.900343388908998,1.0,True,SnapKV,snapkv,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,111.66666666666667,63.0,174.66666666666666,162.0,3219456.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.3,0.2996179418950412,1.0,True,CAKE-style,cake,0.6666666666666666,0.4714045207910317,6,0.3333333333333333,1.0,,,,50.166666666666664,95.0,145.16666666666666,436.5,2675712.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.3,0.2996179418950412,1.0,True,H2O,h2o,0.16666666666666666,0.37267799624996495,6,0.0,0.5,,,,101.56944444444444,43.59722222222222,145.16666666666666,456.11497883933043,2675712.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.3,0.2996179418950412,1.0,True,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,,,,50.166666666666664,95.0,145.16666666666666,436.5,2675712.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.3,0.2996179418950412,1.0,True,SnapKV,snapkv,0.6666666666666666,0.4714045207910317,6,0.3333333333333333,1.0,,,,50.166666666666664,95.0,145.16666666666666,436.5,2675712.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.6,0.5999332613295653,1.0,True,CAKE-style,cake,1.0,0.0,6,1.0,1.0,,,,195.66666666666666,95.0,290.6666666666667,436.5,5357568.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.6,0.5999332613295653,1.0,True,H2O,h2o,0.6666666666666666,0.4714045207910317,6,0.3333333333333333,1.0,,,,208.30324074074076,82.36342592592592,290.6666666666667,442.0785146878395,5357568.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.6,0.5999332613295653,1.0,True,OBCache 1st-order,obcache,0.5,0.5,6,0.16666666666666666,0.8333333333333334,,,,195.66666666666666,95.0,290.6666666666667,436.5,5357568.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.6,0.5999332613295653,1.0,True,SnapKV,snapkv,1.0,0.0,6,1.0,1.0,,,,195.66666666666666,95.0,290.6666666666667,436.5,5357568.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,CAKE-style,cake,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,341.0,95.0,436.0,436.5,8036352.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,H2O,h2o,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,341.0,95.0,436.0,436.5,8036352.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,OBCache 1st-order,obcache,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,341.0,95.0,436.0,436.5,8036352.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,Prompt-protected random,random,1.0,0.0,6,1.0,1.0,,,,389.5,46.5,436.0,445.4040299405557,8036352.0,
needle,none,published,389.5,96,95,0.803921568627451,0.19607843137254902,0.9,0.8999020804175889,1.0,True,SnapKV,snapkv,1.0,0.0,6,1.0,1.0,0.0,0.0,0.0,341.0,95.0,436.0,436.5,8036352.0,
